loan_status,loan_amnt,int_rate,installment,grade,annual_inc,dti
Fully Paid,8000.0,11.99,265.68,B,65000.0,22.05
Fully Paid,15600.0,10.49,506.97,B,43057.0,12.79
Fully Paid,20000.0,6.97,617.27,A,85000.0,18.8
Fully Paid,7350.0,13.11,248.05,B,54800.0,7.47
Fully Paid,23050.0,12.12,766.92,B,80000.0,25.47
Fully Paid,15000.0,9.99,483.94,B,79000.0,17.27
Fully Paid,5375.0,13.11,181.39,B,34000.0,26.12
Fully Paid,15000.0,13.67,510.27,B,90000.0,21.44
Fully Paid,10800.0,13.98,369.02,C,51840.0,25.6
Fully Paid,35000.0,16.99,869.66,D,130000.0,14.03
Fully Paid,15000.0,7.89,469.29,A,90000.0,11.75
Fully Paid,15000.0,18.25,382.95,D,75000.0,24.43
Fully Paid,8000.0,11.67,264.46,B,55000.0,25.35
Fully Paid,14000.0,6.24,427.44,A,100000.0,19.01
Fully Paid,15000.0,13.98,512.52,C,40000.0,14.55
Fully Paid,5000.0,10.99,163.67,B,52000.0,16.27
Fully Paid,8000.0,12.99,269.52,B,25000.0,15.36
Fully Paid,12000.0,10.16,388.11,B,63000.0,20.9
Fully Paid,5000.0,9.16,159.38,B,20000.0,20.41
Fully Paid,19200.0,15.31,668.5,C,88000.0,24.09
Fully Paid,33425.0,17.57,1201.2,D,76000.0,17.43
Fully Paid,15000.0,11.99,498.15,B,62000.0,26.56
Fully Paid,14000.0,9.67,449.58,B,98593.24,9.64
Fully Paid,20000.0,19.52,738.39,D,60000.0,11.96
Fully Paid,25000.0,12.49,562.33,B,170000.0,1.41
Fully Paid,15000.0,13.98,512.52,C,120000.0,9.88
Fully Paid,2400.0,8.67,75.96,B,61500.0,16.39
Fully Paid,12800.0,9.16,408.0,B,72000.0,15.5
Fully Paid,24000.0,19.24,625.75,E,120000.0,11.38
Fully Paid,31300.0,13.11,1056.28,B,70000.0,28.89
Fully Paid,8000.0,7.69,249.55,A,45000.0,17.44
Fully Paid,28500.0,11.99,946.48,B,240000.0,6.87
Fully Paid,12500.0,11.14,410.07,B,55000.0,15.25
Fully Paid,4000.0,21.49,151.71,D,60000.0,15.88
Fully Paid,6900.0,16.99,245.97,D,39000.0,6.46
Fully Paid,6625.0,14.09,226.72,B,42000.0,4.51
Fully Paid,4000.0,11.53,131.97,B,60000.0,15.7
Fully Paid,10000.0,8.19,314.25,A,65000.0,23.19
Fully Paid,8000.0,18.92,292.93,D,85000.0,19.29
Fully Paid,24000.0,6.62,736.89,A,107000.0,10.97
Fully Paid,25000.0,12.85,840.55,B,122800.0,14.35
Fully Paid,17400.0,11.39,572.88,B,81000.0,25.46
Fully Paid,3650.0,16.99,130.12,D,36638.0,26.24
Fully Paid,9000.0,8.39,283.65,A,56000.0,11.98
Fully Paid,28200.0,21.49,770.7,E,64000.0,4.81
Fully Paid,7200.0,16.2,253.85,C,32000.0,15.53
Fully Paid,15000.0,18.49,545.99,D,98000.0,24.69
Fully Paid,12000.0,11.99,398.52,B,72000.0,9.93
Fully Paid,15000.0,14.33,515.08,C,45000.0,34.37
Fully Paid,12000.0,6.49,367.74,A,35000.0,18.55
Fully Paid,9600.0,6.49,294.19,A,42000.0,18.43
Fully Paid,10750.0,13.98,367.31,C,33000.0,23.82
Fully Paid,4500.0,10.99,147.31,B,34000.0,14.79
Fully Paid,16225.0,19.52,425.55,E,122000.0,8.93
Fully Paid,5000.0,7.9,156.46,A,53038.0,14.61
Fully Paid,4000.0,7.62,124.65,A,49000.0,10.73
Fully Paid,35000.0,12.29,783.7,C,140000.0,18.72
Fully Paid,9100.0,12.39,303.95,C,30000.0,24.68
Fully Paid,4200.0,12.99,141.5,B,39953.0,20.1
Fully Paid,15000.0,12.99,505.34,C,75000.0,8.22
Fully Paid,9450.0,7.62,294.48,A,27000.0,8.69
Fully Paid,9750.0,13.11,329.04,B,30000.0,24.06
Fully Paid,6000.0,7.49,186.61,A,35000.0,18.28
Fully Paid,16750.0,16.55,412.24,D,48000.0,33.9
Fully Paid,10775.0,14.49,370.84,C,30000.0,17.44
Fully Paid,28000.0,8.18,879.75,B,155000.0,9.3
Fully Paid,8325.0,15.31,289.86,C,37000.0,8.53
Fully Paid,9000.0,10.99,294.61,B,69500.0,15.01
Fully Paid,14000.0,14.47,481.69,C,80000.0,8.4
Fully Paid,5000.0,9.17,159.4,B,90000.0,9.45
Fully Paid,5500.0,18.25,199.53,D,40000.0,25.11
Fully Paid,9600.0,21.0,361.69,E,89000.0,13.81
Fully Paid,4000.0,13.65,136.04,C,30000.0,13.72
Fully Paid,3000.0,13.65,102.03,C,45000.0,13.73
Fully Paid,8525.0,9.17,271.77,B,38500.0,28.01
Fully Paid,10400.0,12.99,236.58,C,53000.0,22.67
Fully Paid,4500.0,10.16,145.55,B,22000.0,13.75
Fully Paid,6000.0,9.49,192.17,B,30000.0,22.32
Fully Paid,6000.0,9.76,192.93,B,50000.0,18.87
Fully Paid,5000.0,18.75,182.65,D,52000.0,9.9
Fully Paid,5000.0,13.67,170.09,B,52000.0,10.02
Fully Paid,7200.0,12.99,242.57,B,80000.0,7.47
Fully Paid,6400.0,10.99,209.5,B,25000.0,27.75
Fully Paid,10000.0,14.09,342.22,B,40000.0,12.81
Fully Paid,28000.0,19.97,741.37,D,100000.0,31.83
Fully Paid,15000.0,21.15,566.29,E,40000.0,19.08
Fully Paid,30000.0,18.49,1091.97,D,83000.0,20.83
Fully Paid,11700.0,13.11,394.84,B,35000.0,14.17
Fully Paid,7000.0,10.74,228.32,B,35000.0,7.06
Fully Paid,1600.0,17.57,57.5,D,95000.0,27.43
Fully Paid,8800.0,10.65,286.65,B,40000.0,13.65
Fully Paid,27500.0,10.99,900.19,B,55000.0,21.82
Fully Paid,27275.0,16.55,966.34,D,100000.0,16.62
Fully Paid,14400.0,12.85,326.54,B,69000.0,18.49
Fully Paid,17600.0,19.99,466.2,E,55000.0,18.72
Fully Paid,9125.0,13.49,309.62,C,38147.0,26.87
Fully Paid,8400.0,5.32,252.97,A,80000.0,17.01
Fully Paid,16000.0,11.55,528.0,B,110000.0,21.69
Fully Paid,21000.0,13.11,479.0,B,100000.0,22.64
Fully Paid,15000.0,16.29,529.51,D,60000.0,7.36
Fully Paid,8000.0,10.99,261.88,B,41000.0,22.99
Fully Paid,7200.0,22.45,276.66,E,26000.0,34.58
Fully Paid,22400.0,9.16,466.73,B,70000.0,18.55
Fully Paid,12000.0,6.62,368.45,A,70000.0,28.58
Fully Paid,26000.0,16.2,916.66,C,67500.0,26.52
Fully Paid,6500.0,13.53,220.68,B,45000.0,14.11
Fully Paid,1000.0,15.31,34.82,C,75000.0,8.91
Fully Paid,7200.0,18.75,263.02,D,55500.0,27.31
Fully Paid,25000.0,12.35,834.55,B,103000.0,11.43
Fully Paid,25000.0,10.15,808.45,B,115000.0,14.21
Fully Paid,10200.0,15.31,355.14,C,36000.0,12.33
Fully Paid,33000.0,24.08,950.88,F,91000.0,32.05
Fully Paid,12000.0,9.25,383.0,A,105000.0,19.65
Fully Paid,9000.0,10.99,294.61,B,45000.0,10.99
Fully Paid,12000.0,8.19,377.09,A,150000.0,13.24
Fully Paid,14400.0,15.22,500.74,C,52000.0,19.3
Fully Paid,29300.0,19.19,1076.84,E,150000.0,21.01
Fully Paid,30000.0,8.49,946.89,B,113000.0,15.89
Fully Paid,21600.0,9.67,455.44,B,68000.0,27.89
Fully Paid,25000.0,17.57,898.43,D,80000.0,10.49
Fully Paid,25000.0,19.72,658.46,D,68000.0,12.55
Fully Paid,18000.0,9.67,578.03,B,68000.0,26.26
Fully Paid,12800.0,6.89,394.59,A,117352.0,6.35
Fully Paid,24725.0,20.99,931.39,E,59000.0,21.11
Fully Paid,9000.0,6.03,273.92,A,45000.0,6.69
Fully Paid,25000.0,19.99,662.21,E,67000.0,20.49
Fully Paid,20000.0,14.47,470.26,C,85000.0,18.04
Fully Paid,12100.0,16.55,428.7,D,62000.0,18.38
Fully Paid,8000.0,14.09,273.78,B,38081.0,9.11
Fully Paid,3600.0,19.2,132.33,D,36400.0,10.91
