datetime,gold_price_usd,gold_price_eur,gold_price_jpy,gold_price_gbp,gold_price_cad,gold_price_chf
1978-12-29,226.00,137.06,,110.70,,
1979-01-01,226.00,137.06,,110.70,,
1979-01-02,226.80,137.29,43164.91,111.45,263.74,359.62
1979-01-03,218.60,134.01,43717.90,107.98,264.39,365.87
1979-01-04,223.15,136.79,43674.89,110.66,264.14,366.38
1979-01-05,225.50,138.35,44582.47,111.63,268.39,373.72
1979-01-08,223.10,136.38,44436.22,110.15,269.53,372.64
1979-01-09,224.00,137.29,44045.61,110.95,266.30,372.78
1979-01-10,220.70,135.48,43366.38,109.94,261.79,365.87
1979-01-11,220.65,135.94,43770.55,110.19,262.51,370.88
1979-01-12,217.60,134.08,42837.13,109.02,257.19,364.62
1979-01-15,216.85,133.83,42795.27,108.81,256.83,367.75
1979-01-16,220.65,135.62,43225.85,110.19,260.89,367.73
1979-01-17,227.25,139.22,44349.65,113.26,267.56,376.22
1979-01-18,231.75,141.66,44823.37,115.30,270.81,379.10
1979-01-19,230.55,141.14,46908.77,115.07,280.94,396.08
1979-01-22,235.00,144.00,46387.41,117.59,278.27,393.50
1979-01-23,230.00,141.14,45633.13,115.23,273.28,386.81
1979-01-24,236.10,144.69,46372.42,118.05,278.94,392.79
1979-01-25,233.85,143.98,46890.28,117.34,280.10,397.24
1979-01-26,235.45,144.64,46801.30,118.02,279.57,394.61
1979-01-29,235.20,145.25,46917.32,117.89,279.33,395.28
1979-01-30,233.50,144.09,46907.17,116.93,278.46,394.21
1979-01-31,233.70,144.84,45160.33,117.44,267.10,379.32
1979-02-01,229.35,142.85,47160.45,115.77,279.15,397.11
1979-02-02,230.30,143.48,46328.34,116.31,275.53,393.04
1979-02-05,243.10,150.26,47766.02,122.18,285.76,403.85
1979-02-06,244.50,150.80,48317.70,122.56,289.72,408.72
1979-02-07,251.60,153.67,48835.68,124.93,296.91,412.32
1979-02-08,250.50,153.49,50293.31,124.94,303.28,420.59
1979-02-09,246.75,151.30,48548.55,123.25,291.41,405.69
1979-02-12,244.25,150.01,49820.36,121.88,297.99,415.38
1979-02-13,240.60,148.10,48714.80,120.09,291.01,406.46
1979-02-14,240.65,148.25,47638.54,120.03,283.22,397.88
1979-02-15,247.75,152.37,49146.71,123.63,292.56,408.03
1979-02-16,247.05,152.19,49351.91,123.34,293.47,411.88
1979-02-19,248.10,152.84,50094.50,123.86,298.26,417.45
1979-02-20,247.00,152.24,49921.71,123.22,296.38,414.47
1979-02-21,250.75,154.63,50398.61,124.91,297.80,417.09
1979-02-22,252.35,155.40,50607.37,125.58,300.21,420.48
1979-02-23,251.00,154.44,50405.39,124.75,299.39,417.97
1979-02-26,248.60,152.73,50592.58,123.01,299.65,416.75
1979-02-27,247.90,152.46,50111.39,122.57,296.26,412.90
1979-02-28,251.30,154.64,50209.08,124.19,295.50,413.61
1979-03-01,248.80,153.27,50821.01,122.96,295.69,417.66
1979-03-02,248.00,152.83,50920.81,122.65,295.01,417.27
1979-03-05,238.15,147.01,49760.54,117.75,287.46,407.87
1979-03-06,239.75,147.91,48982.65,118.40,283.85,401.20
1979-03-07,242.25,149.08,49423.00,119.07,286.72,403.83
1979-03-08,239.20,147.09,48791.81,117.11,281.88,397.93
1979-03-09,241.00,148.43,49315.21,118.22,284.09,401.72
1979-03-12,240.00,148.01,49652.41,117.59,283.92,403.54
1979-03-13,239.10,147.76,50063.34,117.23,280.60,403.21
1979-03-14,239.50,147.76,49758.35,117.57,281.06,402.78
1979-03-15,240.10,148.22,49673.74,117.93,281.38,403.40
1979-03-16,244.00,150.77,49687.00,120.17,280.78,403.10
1979-03-19,242.25,149.66,50584.67,119.72,284.58,410.89
1979-03-20,242.10,149.41,50126.49,119.11,282.96,407.50
1979-03-21,239.90,148.28,49778.12,118.09,280.16,407.03
1979-03-22,242.85,149.85,49959.64,119.42,283.69,410.31
1979-03-23,242.50,149.70,49816.19,119.02,282.68,409.05
1979-03-26,245.25,150.98,50353.08,119.43,285.17,411.03
1979-03-27,244.35,150.72,51005.19,118.99,287.86,415.30
1979-03-28,244.40,150.69,50684.14,119.25,283.71,410.53
1979-03-29,241.50,149.12,50335.83,117.49,281.09,408.45
1979-03-30,240.10,148.04,50274.29,116.22,278.16,406.20
1979-04-02,239.70,148.52,50844.06,115.94,277.61,409.19
1979-04-03,240.00,148.77,51208.13,116.17,278.10,409.03
1979-04-04,239.75,148.51,51481.05,115.99,276.98,409.24
1979-04-05,240.65,149.14,51850.43,116.00,276.96,411.85
1979-04-06,239.75,148.52,51488.37,114.91,275.83,410.01
1979-04-09,240.20,149.87,51461.34,114.71,276.33,414.61
1979-04-10,239.75,149.27,50895.09,114.06,274.82,411.78
1979-04-11,238.35,148.25,50867.47,114.21,274.27,410.15
