datetime,gold_price_usd
1978-12-29,226.00
1979-01-01,226.00
1979-01-02,226.80
1979-01-03,218.60
1979-01-04,223.15
1979-01-05,225.50
1979-01-08,223.10
1979-01-09,224.00
1979-01-10,220.70
1979-01-11,220.65
1979-01-12,217.60
1979-01-15,216.85
1979-01-16,220.65
1979-01-17,227.25
1979-01-18,231.75
1979-01-19,230.55
1979-01-22,235.00
1979-01-23,230.00
1979-01-24,236.10
1979-01-25,233.85
1979-01-26,235.45
1979-01-29,235.20
1979-01-30,233.50
1979-01-31,233.70
1979-02-01,229.35
1979-02-02,230.30
1979-02-05,243.10
1979-02-06,244.50
1979-02-07,251.60
1979-02-08,250.50
1979-02-09,246.75
1979-02-12,244.25
1979-02-13,240.60
1979-02-14,240.65
1979-02-15,247.75
1979-02-16,247.05
1979-02-19,248.10
1979-02-20,247.00
1979-02-21,250.75
1979-02-22,252.35
1979-02-23,251.00
1979-02-26,248.60
1979-02-27,247.90
1979-02-28,251.30
1979-03-01,248.80
1979-03-02,248.00
1979-03-05,238.15
1979-03-06,239.75
1979-03-07,242.25
1979-03-08,239.20
1979-03-09,241.00
1979-03-12,240.00
1979-03-13,239.10
1979-03-14,239.50
1979-03-15,240.10
1979-03-16,244.00
1979-03-19,242.25
1979-03-20,242.10
1979-03-21,239.90
1979-03-22,242.85
1979-03-23,242.50
1979-03-26,245.25
1979-03-27,244.35
1979-03-28,244.40
1979-03-29,241.50
1979-03-30,240.10
1979-04-02,239.70
1979-04-03,240.00
1979-04-04,239.75
1979-04-05,240.65
1979-04-06,239.75
1979-04-09,240.20
1979-04-10,239.75
1979-04-11,238.35
1979-04-12,233.95
1979-04-13,233.95
1979-04-16,233.95
1979-04-17,231.90
1979-04-18,233.20
1979-04-19,240.90
1979-04-20,236.40
1979-04-23,236.85
1979-04-24,239.70
1979-04-25,241.80
1979-04-26,242.20
1979-04-27,243.70
1979-04-30,245.30
1979-05-01,247.30
1979-05-02,246.30
1979-05-03,246.50
1979-05-04,248.45
1979-05-07,248.45
1979-05-08,248.95
1979-05-09,247.95
1979-05-10,252.25
1979-05-11,251.50
1979-05-14,251.00
1979-05-15,255.50
1979-05-16,256.50
1979-05-17,256.80
1979-05-18,256.40
1979-05-21,262.00
1979-05-22,265.40
1979-05-23,264.15
1979-05-24,263.75
1979-05-25,270.60
1979-05-28,270.60
1979-05-29,273.80
