month,maximum_rainfall_in_a_day
1982-01,36.5
1982-02,9.4
1982-03,61.7
1982-04,45.1
1982-05,33
1982-06,20.6
1982-07,17.2
1982-08,57.7
1982-09,18
1982-10,10
1982-11,39.6
1982-12,109
1983-01,43.2
1983-02,5.1
1983-03,18.3
1983-04,21.3
1983-05,32.3
1983-06,27.7
1983-07,55.5
1983-08,181.8
1983-09,50.3
1983-10,40
1983-11,54.8
1983-12,164.4
1984-01,62.3
1984-02,154.4
1984-03,119.4
1984-04,38.7
1984-05,46
1984-06,121.1
1984-07,49.2
1984-08,22.5
1984-09,46.5
1984-10,47.2
1984-11,35.4
1984-12,58.4
1985-01,35.5
1985-02,18.7
1985-03,23.8
1985-04,29.3
1985-05,36.2
1985-06,9.9
1985-07,32.2
1985-08,21.4
1985-09,22
1985-10,30.2
1985-11,38.2
1985-12,86.8
1986-01,95.6
1986-02,23
1986-03,71.1
1986-04,56.4
1986-05,51.3
1986-06,34.5
1986-07,23.5
1986-08,28.4
1986-09,97.6
1986-10,65.6
1986-11,40.5
1986-12,131.7
1987-01,127.4
1987-02,34.8
1987-03,40.9
1987-04,27.7
1987-05,81.4
1987-06,30.7
1987-07,21.6
1987-08,48.2
1987-09,44.5
1987-10,5.9
1987-11,77.7
1987-12,24.3
1988-01,69
1988-02,46.7
1988-03,70.1
1988-04,22.8
1988-05,76.7
1988-06,69.4
1988-07,75.6
1988-08,19
1988-09,187.3
1988-10,39.8
1988-11,111.9
1988-12,22
1989-01,53
1989-02,48.4
1989-03,63.5
1989-04,39
1989-05,38.2
1989-06,45.9
1989-07,33.3
1989-08,81.4
1989-09,102.2
1989-10,24.9
1989-11,148.6
1989-12,44.2
1990-01,73.9
1990-02,6.6
1990-03,48.6
1990-04,12
1990-05,153.7
1990-06,76.1
1990-07,44.5
1990-08,38.3
1990-09,44.5
1990-10,20.2
1990-11,46.9
1990-12,33.5
1991-01,36.2
1991-02,17.9
1991-03,48.6
1991-04,32.2
1991-05,44
1991-06,55.6
1991-07,10.7
1991-08,129.9
1991-09,53.6
1991-10,20.4
1991-11,75.2
1991-12,79.4
1992-01,56.2
1992-02,43.2
1992-03,35.1
1992-04,94.7
1992-05,13.7
1992-06,38.4
1992-07,97.3
1992-08,31
1992-09,17.5
1992-10,45.5
1992-11,120.6
1992-12,105.7
1993-01,37.2
1993-02,27
1993-03,56.9
1993-04,56.7
1993-05,37.2
1993-06,29.4
1993-07,46.4
1993-08,53.5
1993-09,42
1993-10,62.7
1993-11,61.3
1993-12,67.6
1994-01,17.5
